X,Y,X_scaled,Y_scaled,Bearing
-193,-193,-177.56,207.0,130.62225907125992
-192,-192,-176.64000000000001,206.08,130.6012946450045
-192,-192,-176.64000000000001,207.0,130.47523152716582
-193,-193,-177.56,206.08,130.74842214869173
-192,-192,-176.64000000000001,207.0,130.47523152716582
-193,-193,-177.56,207.0,130.62225907125992
-193,-193,-177.56,207.0,130.62225907125992
-193,-193,-177.56,206.08,130.74842214869173
-192,-192,-176.64000000000001,207.92000000000002,130.34981515011376
-192,-192,-176.64000000000001,206.08,130.6012946450045
-193,-193,-177.56,207.0,130.62225907125992
-192,-192,-176.64000000000001,207.0,130.47523152716582
-191,-191,-175.72,207.92000000000002,130.20224691450684
-187,-187,-172.04000000000002,212.52,128.99099404250546
-186,-186,-171.12,212.52,128.8408369708569
-182,-182,-167.44,214.36,127.99396018035402
-170,-170,-156.4,220.8,125.31121343963319
-158,-158,-145.36,229.08,122.39668546741922
-154,-154,-141.68,231.84,121.42956561483851
-144,-144,-132.48000000000002,236.44,119.26240192674739
-135,-135,-124.2,241.04000000000002,117.26056517042369
-108,-108,-99.36,253.0,111.44128990729536
-98,-98,-90.16000000000001,255.76000000000002,109.41847074206112
-96,-96,-88.32000000000001,255.76000000000002,109.05100873132125
-95,-95,-87.4,256.68,108.80380067696223
-97,-97,-89.24000000000001,257.6,109.10754714052335
-96,-96,-88.32000000000001,256.68,108.98762408787017
-92,-92,-84.64,258.52000000000004,108.1285572006513
-73,-73,-67.16,264.04,104.27086860818396
-65,-65,-59.800000000000004,265.88,102.6756658483959
-49,-49,-45.080000000000005,268.64,99.5259488109804
-41,-41,-37.72,269.56,97.96577456521061
-25,-25,-23.0,273.24,94.81153450167805
-9,-9,-8.280000000000001,273.24,91.73570458892839
3,3,2.7600000000000002,275.08,89.42514524775706
26,26,23.92,276.0,85.04674252215794
36,36,33.120000000000005,276.0,83.15722658736907
56,56,51.52,275.08,79.39191495379927
65,65,59.800000000000004,274.16,77.69532115283697
76,76,69.92,274.16,75.69264287958971
76,76,69.92,275.08,75.73853843294928
75,75,69.0,273.24,75.82766229986805
77,77,70.84,274.16,75.51226249286808
76,76,69.92,272.32,75.59997869320895
77,77,70.84,272.32,75.41853163068008
77,77,70.84,274.16,75.51226249286808
76,76,69.92,272.32,75.59997869320895
75,75,69.0,274.16,75.87331338775785
81,81,74.52000000000001,274.16,74.79369904671361
102,102,93.84,271.40000000000003,70.92652282619669
114,114,104.88000000000001,270.48,68.80594351845772
126,126,115.92,266.8,66.51588470949513
126,126,115.92,266.8,66.51588470949513
127,127,116.84,266.8,66.34989672149943
128,128,117.76,267.72,66.25710412273381
126,126,115.92,267.72,66.58788583069732
128,128,117.76,267.72,66.25710412273381
137,137,126.04,265.88,64.63678188737413
152,152,139.84,261.28000000000003,61.84380855172743
163,163,149.96,256.68,59.70527205613002
185,185,170.20000000000002,250.24,55.77853660267372
194,194,178.48000000000002,247.48000000000002,54.20124966027114
214,214,196.88,238.28,50.434615600862536
228,228,209.76000000000002,232.76000000000002,47.97527390445009
254,254,233.68,219.88,43.25725834656351
267,267,245.64000000000001,211.60000000000002,40.742373533820974
267,267,245.64000000000001,211.60000000000002,40.742373533820974
269,269,247.48000000000002,211.60000000000002,40.53105774544853
268,268,246.56,211.60000000000002,40.63648860833808
270,270,248.4,208.84,40.05513370790316
281,281,258.52000000000004,203.32000000000002,38.184231666051076
303,303,278.76,187.68,33.95109432834526
309,309,284.28000000000003,183.08,32.782059496525356
315,315,289.8,176.64000000000001,31.36330221395006
325,325,299.0,170.20000000000002,29.64986350757558
332,332,305.44,164.68,28.33162079059111
343,343,315.56,152.72,25.825358032209717
351,351,322.92,144.44,24.09865508094258
373,373,343.16,115.92,18.665051118019225
383,383,352.36,100.28,15.886103980542847
394,394,362.48,85.56,13.28104026169421
393,393,361.56,86.48,13.451612947221301
393,393,361.56,85.56,13.3136323121434
393,393,361.56,83.72,13.037200046441614
393,393,361.56,85.56,13.3136323121434
401,401,368.92,73.60000000000001,11.282452485953163
